RUTClave,Clientes Totales,Clientes con Coordenada,% Captura
D001001,54,48.0,88.88888888888889
D001002,101,99.0,98.01980198019803
D001003,83,82.0,98.79518072289156
D001004,75,75.0,100.0
D001005,54,54.0,100.0
D001006,79,74.0,93.67088607594937
D001007,97,88.0,90.72164948453609
D001008,59,55.0,93.22033898305084
D001009,84,81.0,96.42857142857143
D001010,79,70.0,88.60759493670885
D001011,88,88.0,100.0
D001012,59,55.0,93.22033898305084
D001013,71,69.0,97.1830985915493
D001014,61,58.0,95.08196721311475
D001015,76,75.0,98.68421052631578
D001016,52,51.0,98.07692307692307
D001017,61,61.0,100.0
D001018,56,54.0,96.42857142857143
D001019,57,56.0,98.24561403508771
D001020,66,66.0,100.0
D001021,61,58.0,95.08196721311475
D001022,67,66.0,98.50746268656717
D001023,60,50.0,83.33333333333334
D001024,65,62.0,95.38461538461539
D001025,52,49.0,94.23076923076923
D001026,58,57.0,98.27586206896551
D001027,61,61.0,100.0
D001028,60,60.0,100.0
D001029,56,55.0,98.21428571428571
D001030,52,52.0,100.0
D001031,62,62.0,100.0
D001032,67,67.0,100.0
D001033,57,57.0,100.0
D001034,65,65.0,100.0
D001035,54,53.0,98.14814814814815
D001036,78,71.0,91.02564102564102
D001037,54,54.0,100.0
D001038,58,58.0,100.0
D001039,71,60.0,84.50704225352112
D001040,86,86.0,100.0
D001041,65,58.0,89.23076923076924
D001042,62,61.0,98.38709677419355
D001043,53,53.0,100.0
D001044,67,66.0,98.50746268656717
D001045,56,53.0,94.64285714285714
D001046,65,64.0,98.46153846153847
D001047,58,57.0,98.27586206896551
D001048,63,60.0,95.23809523809523
D001049,73,65.0,89.04109589041096
D001050,69,66.0,95.65217391304348
D001051,45,42.0,93.33333333333333
D001052,61,61.0,100.0
D001053,69,60.0,86.95652173913044
D001054,52,50.0,96.15384615384616
D001055,65,62.0,95.38461538461539
D001056,60,58.0,96.66666666666667
D001057,60,60.0,100.0
D001058,72,66.0,91.66666666666666
D001059,64,53.0,82.8125
D001060,55,42.0,76.36363636363637
D001061,83,82.0,98.79518072289156
D001062,62,59.0,95.16129032258065
D001101,35,34.0,97.14285714285714
D001102,36,34.0,94.44444444444444
D001103,47,45.0,95.74468085106383
D001104,35,33.0,94.28571428571428
D001105,34,34.0,100.0
D001106,32,31.0,96.875
D001107,53,53.0,100.0
D001108,24,24.0,100.0
D001109,38,38.0,100.0
D001110,49,49.0,100.0
D001176,1,1.0,100.0
D001178,1,0.0,0.0
D001400,1,1.0,100.0
D001432,1,0.0,0.0
D001439,1,0.0,0.0
